Calibre de Solda,0 mm | 20 mm,Calibre de Solda,CAS-022,CAS-022,N/C,N/C,LAFTEC,2517535,2025-06-04,2027-05-25,OBRA 121
Calibre de Solda,,Carbografite,99-01,99-01,N/C,N/C,LAFTEC,2517536,2025-06-04,2027-05-25,OBRA 121
Calibre de Solda,0 mm | 45 mm,Carbografite,CAS-040,40,N/C,CE-CG298,LAFTEC,2224242,2022-10-24,2024-10-13,ALMOXARIFADO
Calibre de Solda,,Carbografite,CS-001,CS-001,N/C,N/C,TÉCNICA CALIB.,2000033,2020-01-27,2022-01-16,ALMOXARIFADO
Calibre de Solda - Hi-Lo,,Carbografite,CAS-025,CAS-025,CAS-025,CE-CG298,LAFTEC,2421858,2024-07-23,2026-07-13,OBRA 121
Calibre de Solda - Hi-Lo,,Carbografite,CAS-026,CAS-026,N/C,CE-CG298,LAFTEC,2415657,2024-06-14,2026-06-04,OBRA 118
Calibre de Solda - Hi-Lo,0 mm | 45 mm,Carbografite,CAS-030,CAS-030,N/C,CE-CG298,LAFTEC,2306019,2023-03-09,2025-02-26,ALMOXARIFADO
Calibre de Solda - Hi-Lo,0 mm | 45 mm,Carbografite,CAS-033,CAS-033,N/C,CE-CG298,LAFTEC,2421861,2024-07-23,2026-07-13,ALMOXARIFADO
Calibre de Solda - Hi-Lo,,Carbografite,CAS-041,CAS-041,N/C,CE-CG298,METRUS,2415656,2024-06-14,2026-06-04,OBRA 118
Calibre de Solda - Hi-Lo,0 mm | 45 mm,Carbografite,CAS-044,44,N/C,N/C,LAFTEC,2421859,2024-07-23,2026-07-13,ALMOXARIFADO
Calibre de Solda - Hi-Lo,0 mm | 45 mm,Zaas,CAS-046,46,N/C,113-0016,LAFTEC,2421860,2024-07-23,2026-07-13,ALMOXARIFADO
Calibre de Solda - Hi-Lo,0 mm | 45 mm,Zaas,CAS-047,47,N/C,113-0016,LAFTEC,2421862,2024-07-23,2026-07-13,OBRA 120
Calibre de Solda - Hi-Lo,0 mm | 45 mm,Zaas,CAS-048,48,N/C,113-0016,LAFTEC,2421863,2024-07-23,2026-07-13,ALMOXARIFADO
Calibre de Solda - Hi-Lo,,Carbografite,CAS-43,43,N/C,N/C,LAFTEC,2214748,2022-07-01,2024-06-20,ALMOXARIFADO
Calibre de Solda - Hi-Lo,,Carbografite,CAS-45,45,N/C,N/C,LAFTEC,2214750,2022-07-01,2024-06-20,ALMOXARIFADO
Cappo Plus - Calibrador Portáti Microproc.,,Ecil,CCP-001,CCP-01,N/C,Cappo Plus,METRUS,E0688001-1221,2021-12-29,2022-12-24,ALMOXARIFADO
Medidor de Camadas Ferroso,,N/C,1370,1370,N425624,CM-8822,METRUS,2306279,2021-11-23,2023-11-13,ALMOXARIFADO
Conjunto de Filmes Padrão (Bloco Padrão),,Instrutherm,1812/F,1812/F,N/C,N/C,TECNICA CALIB.,2004563,2020-08-14,2025-07-19,ALMOXARIFADO
Conjunto de Filmes Padrão (Bloco Padrão),,DeFelsko,WS-824-1,WS-824-1,N/C,N/C,TECNOISO,8703220221,2022-02-21,2023-02-21,ALMOXARIFADO
Conjunto de Filmes Padrão (Bloco Padrão),,DeFelsko,WS-824-2,WS-824-2,N/C,N/C,TECNOISO,8705220221,2022-02-21,2023-02-21,ALMOXARIFADO
Conjunto de Filmes Padrão (Bloco Padrão),,DeFelsko,WS-824-3,WS-824-3,N/C,N/C,TECNOISO,8704220221,2022-02-21,2023-02-21,ALMOXARIFADO
Controlador de Temperatura,,Autonics,CT-001,CT-001,N/C,TCN4S-24R,LAF METROLOGIA,1800610,2018-02-07,2020-01-28,ALMOXARIFADO
Controlador de Temperatura,,Coel,CT-002,CT-002,14201101,TLK48,LAF METROLOGIA,1800611,2018-02-07,2020-01-28,ALMOXARIFADO
Detector de Fuga de Gás,,N/C,600,600,KA419-6011276,N/C,CLEAN ENVIROMENT,0342.25,2025-03-20,2026-03-20,OBRA 118
Detector de Fuga de Gás,,Central Brasil,1865,1865,N/C,DY8800A+,CENTRAL BRASIL,12343.22,2022-06-22,2023-06-22,ALMOXARIFADO
Detector de Fuga de Gás,,Central Brasil,1866,1866,N/C,DY8800A+,CENTRAL BRASIL,12342.22,2022-06-22,2023-06-22,ALMOXARIFADO
Detector de Fuga de Gás,,BW Tecnologies,1916,1916,KA418-6000687,GAS ALERT,CLEAN ENVIROMENT,0744.19,2019-06-19,2020-06-18,ALMOXARIFADO
Detector de Fuga de Gás,,Central Brasil,1969,1969,AD203739038,CBDGC-8800,CENTRAL BRASIL,8869.21,2021-07-21,2022-07-21,ALMOXARIFADO
Detector de Fuga de Gás,,Central Brasil,1970,1970,AD203739033,CBDGC-8800,CENTRAL BRASIL,8868.21,2021-07-21,2022-07-21,ALMOXARIFADO
Detector de Fuga de Gás,,Central Brasil,1977,1977,1749776,MGC-1000,CENTRAL BRASIL,15949.23,2023-03-24,2024-03-23,ALMOXARIFADO
Detector de Fuga de Gás,,Central Brasil,1978,1978,1749774,MGC-1000,CENTRAL BRASIL,24340.24,2024-10-18,2025-10-18,ALMOXARIFADO
Detector de Fuga de Gás,,Central Brasil,1980,1980,1749779,MGC-1000,CENTRAL BRASIL,6346.20,2020-06-24,2021-06-24,ALMOXARIFADO
Detector de Fuga de Gás,,Central Brasil,1981,1981,1749775,MGC-1000,CENTRAL BRASIL,6342.20,2020-06-24,2021-06-24,ALMOXARIFADO
Detector de Fuga de Gás,,Central Brasil,1982,1982,1749778,MGC-1000,CENTRAL BRASIL,13969.22,2022-10-27,2023-10-27,ALMOXARIFADO
Detector de Fuga de Gás,,Central Brasil,1983,1983,1749773,MGC-1000,CENTRAL BRASIL,6340.20,2020-06-24,2021-06-24,ALMOXARIFADO
Detector de Fuga de Gás,,Central Brasil,1984,1984,1749777,MGC-1000,CENTRAL BRASIL,6344.20,2020-06-24,2021-06-24,ALMOXARIFADO
Detector de Fuga de Gás,,Central Brasil,1985,1985,1749780,MGC-1000,CENTRAL BRASIL,24339.24,2024-08-05,2025-08-05,OBRA 118
Detector de Fuga de Gás,,Minipa,2003,2003,1927288,MGC-1000,CENTRAL BRASIL,13968.22,2022-10-27,2023-10-27,ALMOXARIFADO
Detector de Fuga de Gás,,Minipa,2002,2002,1927287,MGC-1000,CENTRAL BRASIL,24413.24,2024-08-07,2025-08-07,ALMOXARIFADO
Detector de Fuga de Gás,,Minipa,2041,2041,1749762,MGC-1000,CENTRAL BRASIL,15947.23,2023-03-24,2024-03-23,ALMOXARIFADO
Detector de Fuga de Gás,,Minipa,1749771,1749771,1749771,MGC-1000,CENTRAL BRASIL,24415.24,2024-08-07,2025-08-07,OBRA 118
Detector Portátil de Gás,,N/C,1937,1937,KA418-6003918,N/C,CLEAN ENVIROMENT,0341.25,2025-03-20,2026-03-20,ALMOXARIFADO
Detector Portátil de Gás,,,2099,2099,KA422-6033247,N/C,CLEAN ENVIROMENT,0340.25,2025-03-20,2026-03-20,ALMOXARIFADO
Detector Portátil de Gás,,,2100,2100,KA422-6033246,N/C,CLEAN ENVIROMENT,1402.24,2024-10-18,2025-10-18,OBRA 118
Dinamometro Digital,,instrutemp,2045,2045,977721,ITFG 6020,INSTRUTEMP,233069/21,2021-11-19,2022-11-19,ALMOXARIFADO
Dinamometro Digital,,instrutemp,2046,2046,977753,ITFG 6020,LAFTEC,2415696,2024-06-19,2025-06-19,OBRA 118
Durometro de Impacto,,GE,1822,1822,8372,MIC10,LAFTEC,2415655,2024-06-21,2027-06-06,OBRA 118
Durometro de Impacto,,Woltest,1826,1826,n/c,MOD4007,TÉCNICA CALIB.,1907709,2019-12-18,2022-12-02,ALMOXARIFADO
Durometro Rockwell Portatil,,GE,1823,1823,8403,MIC10,METRUS,D0688005-0122,2022-01-18,2025-01-02,ALMOXARIFADO
Eddy Current,,Olympus,Sagatech,Sagatech,60006150455,Nortec 600,ENDVALE,1004,2022-02-22,2023-02-22,ALMOXARIFADO
Esquadro,,Stanley,ESQ-309,ESQ-309,N/C,46-536,LAFTEC,2421241,2024-07-19,2026-07-09,OBRA 118
Esquadro,"""24""""""",Stanley,ESQ-310,ESQ-310,N/C,46-536,LAFTEC,2421242,2024-07-19,2026-07-09,OBRA 118
Esquadro,,Vonder,ESQ-310/1,ESQ-310/1,N/C,N/C,LAFTEC,2423157,2024-07-25,2026-07-15,ALMOXARIFADO
Esquadro,"""24""""""",Stanley,ESQ-311,ESQ-311,N/C,46-536,LAFTEC,2421243,2024-07-19,2026-07-09,OBRA 118
