Descrição,especificação,Fabricante,Patrimônio,TAG,Número de Série,Modelo,Laboratório de Calibração,Certificado de Calibração nº,Data da Calibração,Data Próxima Calibração,Obra/Local,
Alicate Amperimetro,,Minipa,1251,1251,ET-320A290748,ET-3200A,TÉCNICA CALIB.,2001354,2020-03-04,2022-02-22,ALMOXARIFADO,
Alicate Amperimetro,,Minipa,1412,1412,ET2651001482,ET-2651,LAF METROLOGIA,1800616,2018-02-08,2020-01-29,ALMOXARIFADO,
Alicate Amperimetro,,Minipa,1421,1421,ET320A322396,ET-3200A,LAFTEC,2415647,2024-06-24,2026-06-14,OBRA 118,
Válvula de Segurança- Jato,,N/C,133,133,026934-10,N/C,LAFTEC,2415653,2024-06-20,2025-06-20,ALMOXARIFADO,
Voltímetro (Analógico/Digital),,Minipa,1447,1447,ET-2005060,ET-2055,LAFTEC,2415648,2024-06-24,2026-06-14,OBRA 118,
Yoke,,Super Magma,180,180,1538/10,HMM6,LAFTEC,2415652,2024-06-19,2026-06-09,OBRA 118,
Yoke,,Serv- End,181,181,2436,SEY 101/A,LAFTEC,2222376,2022-10-06,2024-09-25,ALMOXARIFADO,
