"Descrição","Especificação","Fabricante","Patrimônio","TAG","Número de Série","Modelo","Laboratório de Calibração","Certificado de Calibração nº","Data da Calibração","Data Próxima Calibração","Obra/Local"
"Trena ","5000 mm","Lufkin","TR-419","TR-419","N/C","L516CMES","LAFTEC",2215145,07/07/22,26/06/24,"ALMOXARIFADO"
"Trena ","5000 mm","Lufkin","TR-526","TR-526","N/C","N/C","LAFTEC",2217126,04/08/22,24/07/24,"ALMOXARIFADO"
"Trena ","5000 mm","Lufkin","TR-527","TR-527","N/C","N/C","LAFTEC",2218829,01/09/22,21/08/24,"ALMOXARIFADO"
"Trena ","5000 mm","Lufkin","TR-528","TR-528","N/C","N/C","LAFTEC",2218830,01/09/22,21/08/24,"ALMOXARIFADO"
"Trena ","5000 mm","Lufkin","TR-529","TR-529","N/C","N/C","METRUS","D0688014-0821",09/08/21,30/07/23,"ALMOXARIFADO"
"Trena ","5000 mm","Lufkin","TR-530","TR-530","N/C","N/C","METRUS","D0688015-0821",09/08/21,30/07/23,"ALMOXARIFADO"
"Trena ","5000 mm","Lufkin","TR-531","TR-531","N/C","N/C","METRUS","D0688016-0821",09/08/21,30/07/23,"ALMOXARIFADO"
"Trena ","5000 mm","Lufkin","TR-532","TR-532","N/C","N/C","METRUS","D0688017-0821",09/08/21,30/07/23,"ALMOXARIFADO"
"Trena ","5000 mm","Lufkin","TR-533","TR-533","N/C","N/C","METRUS","D0688018-0821",09/08/21,30/07/23,"ALMOXARIFADO"
"Trena ","5000 mm","Lufkin","TR-534","TR-534","N/C","N/C","METRUS","D0688019-0821",09/08/21,30/07/23,"ALMOXARIFADO"
"Trena ","5000 mm","Lufkin","TR-535","TR-535","N/C","N/C","METRUS","D0688020-0821",09/08/21,30/07/23,"ALMOXARIFADO"
"Trena ","8000 mm","Lufkin","TR-536","TR-536","N/C","L516CMES","LAFTEC",2218831,01/09/22,21/08/24,"ALMOXARIFADO"
"Trena ","8000 mm","Lufkin","TR-536/1","TR-536/1","N/C","L525CMES","LAFTEC",2221079,09/09/22,29/08/24,"ALMOXARIFADO"
"Trena ","8000 mm","Lufkin","TR-537","TR-537","N/C","L525CMES","LAFTEC",2218832,01/09/22,21/08/24,"ALMOXARIFADO"
"Trena ","5000 mm","Lufkin","TR-538","TR-538","N/C","L525CMES","LAFTEC",2305355,07/03/23,24/02/25,"ALMOXARIFADO"
"Trena ","5000 mm","Lufkin","TR-539","TR-539","N/C","L525CMES","LAFTEC",2305356,07/03/23,24/02/25,"ALMOXARIFADO"
"Trena ","5000 mm","Lufkin","TR-540","TR-540","N/C","L516CMES","LAFTEC",2307193,22/03/23,11/03/25,"ALMOXARIFADO"
"Trena ","5000 mm","Lufkin","TR-541","TR-541","N/C","L516CMES","LAFTEC",2307194,22/03/23,11/03/25,"ALMOXARIFADO"
"Trena ","5000 mm","Lufkin","TR-542","TR-542","N/C","L516CMES","LAFTEC",2307195,22/03/23,11/03/25,"ALMOXARIFADO"
"Trena ","5000 mm","Lufkin","TR-543","TR-543","N/C","L516CMES","LAFTEC",2307196,22/03/23,11/03/25,"ALMOXARIFADO"
"Trena ","5000 mm","Lufkin","TR-544","TR-544","N/C","L516CMES","LAFTEC",2307197,22/03/23,11/03/25,"ALMOXARIFADO"
"Trena ","5000 mm","Lufkin","TR-545","TR-545","N/C","L516CMES","LAFTEC",2311419,02/05/23,21/04/25,"OBRA 118"
"Trena ","5000 mm","Lufkin","TR-546","TR-546","N/C","L516CMES","LAFTEC",2311420,02/05/23,21/04/25,"ALMOXARIFADO"
"Trena ","5000 mm","Lufkin","TR-547","TR-547","N/C","L516CMES","LAFTEC",2311421,02/05/23,21/04/25,"OBRA 118"
"Trena ","5000 mm","Lufkin","TR-548","TR-548","N/C","L516CMES","LAFTEC",2311422,02/05/23,21/04/25,"OBRA 118"
"Trena ","5000 mm","Lufkin","TR-549","TR-549","N/C","L516CMES","LAFTEC",2311423,02/05/23,21/04/25,"ALMOXARIFADO"
"Trena ","5000 mm","Lufkin","TR-550","TR-550","N/C","L516CMES","LAFTEC",2311424,02/05/23,21/04/25,"OBRA 118"
"Trena ","5000 mm","Lufkin","TR-551","TR-551","N/C","L516CME","LAFTEC",2421265,19/07/24,09/07/26,"ALMOXARIFADO"
"Trena ","5000 mm","Lufkin","TR-552","TR-552","N/C","L516CME","LAFTEC",2421266,19/07/24,09/07/26,"OBRA 118"
"Trena ","50000 mm","Lufkin","TR-553","TR-553","N/C","L516CME","LAFTEC",2421267,19/07/24,09/07/26,"OBRA 118"
"Trena ","50000 mm","Lufkin","TR-553-1","TR-553/1","N/C","Y1750CM","LAFTEC",2423159,25/07/24,15/07/26,"ALMOXARIFADO"
"Trena ","50000 mm","Lufkin","TR-554","TR-554","N/C","L516CME","LAFTEC",2421268,19/07/24,09/07/26,"ALMOXARIFADO"
"Trena ","50000 mm","Lufkin","TR-554-1","TR-554/1","N/C","Y1750CM","LAFTEC",2423160,25/07/24,15/07/26,"OBRA 120"
"Trena ","50000 mm","Lufkin","TR-555","TR-555","N/C","L516CME","LAFTEC",2421269,19/07/24,09/07/26,"OBRA 118"
"Trena ","50000 mm","Lufkin","TR-555-1","TR-555/1","N/C","Y1750CM","LAFTEC",2423161,25/07/24,15/07/26,"OBRA 118"
"Trena ","50000 mm","Lufkin","TR-556","TR-556","N/C","L516CME","LAFTEC",2421270,19/07/24,09/07/26,"ALMOXARIFADO"
"Trena ","50000 mm","Lufkin","TR-557","TR-557","N/C","L516CME","LAFTEC",2421279,19/07/24,09/07/26,"ALMOXARIFADO"
"Trena ","50000 mm","Lufkin","TR-558","TR-558","N/C","L516CME","LAFTEC",2421271,19/07/24,09/07/26,"ALMOXARIFADO"
"Trena ","50000 mm","Lufkin","TR-559","TR-559","N/C","L516CME","LAFTEC",2421272,19/07/24,09/07/26,"ALMOXARIFADO"
"Trena ","50000 mm","Lufkin","TR-560","TR-560","N/C","L516CME","LAFTEC",2421273,19/07/24,09/07/26,"OBRA 118"
"Trena ","50000 mm","Lufkin","TR-561","TR-561","N/C","L516CME","LAFTEC",2421274,19/07/24,09/07/26,"ALMOXARIFADO"
"Trena ","50000 mm","Lufkin","TR-562","TR-562","N/C","L516CME","LAFTEC",2421275,19/07/24,09/07/26,"ALMOXARIFADO"
"Trena ","50000 mm","Lufkin","TR-563","TR-563","N/C","L516CME","LAFTEC",2421276,19/07/24,09/07/26,"OBRA 119"
"Trena ","50000 mm","Lufkin","TR-564","TR-564","N/C","L516CME","LAFTEC",2421277,19/07/24,09/07/26,"OBRA 119"
"Trena ","50000 mm","Lufkin","TR-565","TR-565","N/C","L516CME","LAFTEC",2421278,19/07/24,09/07/26,"ALMOXARIFADO"
"Trena ","80000 mm","Lufkin","TR-566","TR-566","N/C","L525CME","LAFTEC",2421280,19/07/24,09/07/26,"ALMOXARIFADO"
"Trena ","80000 mm","Lufkin","TR-567","TR-567","N/C","L525CME","LAFTEC",2421281,19/07/24,09/07/26,"ALMOXARIFADO"
"Trena ","80000 mm","Lufkin","TR-568","TR-568","N/C","L525CME","LAFTEC",2421282,19/07/24,09/07/26,"ALMOXARIFADO"
"Trena ","80000 mm","Lufkin","TR-569","TR-569","N/C","L525CME","LAFTEC",2421283,19/07/24,09/07/26,"ALMOXARIFADO"
"Trena ","80000 mm","Lufkin","TR-570","TR-570","N/C","L525CME","LAFTEC",2421284,19/07/24,09/07/26,"ALMOXARIFADO"
"Trena ","80000 mm","Lufkin","TR-571","TR-571","N/C","L525CME","LAFTEC",2421285,19/07/24,09/07/26,"ALMOXARIFADO"
"Trena ","80000 mm","Lufkin","TR-572","TR-572","N/C","L525CME","LAFTEC",2421286,19/07/24,09/07/26,"ALMOXARIFADO"
"Trena ","80000 mm","Lufkin","TR-573","TR-573","N/C","L525CME","LAFTEC",2421287,19/07/24,09/07/26,"ALMOXARIFADO"
"Trena ","80000 mm","Lufkin","TR-574","TR-574","N/C","L525CME","LAFTEC",2421288,19/07/24,09/07/26,"ALMOXARIFADO"
"Trena ","5000 mm","Lufkin","TR-575","TR-575","N/C","L516CME","LAFTEC",2500651,08/01/25,29/12/26,"OBRA 121"
"Trena ","5000 mm","Lufkin","TR-576","TR-576","N/C","L516CME","LAFTEC",2500652,08/01/25,29/12/26,"OBRA 118"
"Trena ","5000 mm","Lufkin","TR-577","TR-577","N/C","L516CME","LAFTEC",2500653,08/01/25,29/12/26,"OBRA 118"
"Trena ","5000 mm","Lufkin","TR-578","TR-578","N/C","L516CME","LAFTEC",2500654,08/01/25,29/12/26,"OBRA 118"
"Trena ","8000 mm","Lufkin","TR-579","TR-579","N/C","L525CME","LAFTEC",2500655,08/01/25,29/12/26,"OBRA 118"
"Trena ","8000 mm","Lufkin","TR-580","TR-580","N/C","L525CME","LAFTEC",2500656,08/01/25,29/12/26,"OBRA 118"
"Trena ","8000 mm","Lufkin","TR-581","TR-581","N/C","L525CME","LAFTEC",2500657,08/01/25,29/12/26,"OBRA 118"
"Trena ","8000 mm","Lufkin","TR-582","TR-582","N/C","L525CME","LAFTEC",2500658,08/01/25,29/12/26,"OBRA 118"
"Trena ","30000 mm","Lufkin","TR-583","TR-583","N/C","ST30CML","LAFTEC",2500659,08/01/25,29/12/26,"OBRA 118"
"Trena ","30000 mm","Lufkin","TR-584","TR-584","N/C","ST30CML","LAFTEC",2500660,08/01/25,29/12/26,"OBRA 118"
"Trena ","5000 mm","MTX","TRE-001","TRE-001","N/C",3100555,"TECNICA CALIB.",2001356,11/03/20,01/03/22,"ALMOXARIFADO"
"Trena ","5000 mm","MTX","TRE-002","TRE-002","N/C",3100555,"TECNICA CALIB.",2001357,11/03/20,01/03/22,"ALMOXARIFADO"
"Trena ","30000 mm","Lufkin","TRE-004","TRE - 004","N/C","TS510-30M","LAFTEC",2217127,04/08/22,24/07/24,"ALMOXARIFADO"
"Trena ","5000 mm","Lufkin","TRE-077","TRE-077","N/C","L516CME","METRUS","D0688001-0618",09/06/18,29/05/20,"ALMOXARIFADO"
"Trena ","8000 mm","Lufkin","TRE-098-001","TRE-098-001","N/C","L525CMES","LAFTEC",2212872,08/06/22,28/05/24,"ALMOXARIFADO"
"Trena ","8000 mm","Lufkin","TRE-098-002","TRE-098-002","N/C","L525CMES","LAFTEC",2212873,08/06/22,28/05/24,"ALMOXARIFADO"
"Trena ","1000 mm","Lufkin","TRE-098-003","TRE-098-003","N/C","L525CMES","LAFTEC",2212874,13/06/22,02/06/24,"ALMOXARIFADO"
"Trena ","5000 mm","Starrett","TRE-098-004","TRE-098-004","N/C","TS34-5ME","METRUS","D0688008-0321",19/03/21,09/03/23,"ALMOXARIFADO"
"Trena ","5000 mm","Starrett","TRE-098-005","TRE-098-005","N/C","TS34-5ME","METRUS","D0688009-0321",19/03/21,09/03/23,"ALMOXARIFADO"
"Trena ","5000 mm","Starrett","TRE-098-006","TRE-098-006","N/C","TS34-5ME","METRUS","D06880010-0321",19/03/21,09/03/23,"ALMOXARIFADO"
"Trena - 3000 mm",,"Lufkin","TR-004","TR-004","N/C","TS510-30M","TECNICA CALIB.",1800624,11/03/20,01/03/22,"ALMOXARIFADO"
"Trena Digital","5000 mm","Bosch",1705,1705,107185313,"DLE 70","LAFTEC",2506014,27/02/25,21/08/26,"ALMOXARIFADO"
"Trena Digital","71 mm","Bosch",1765,1765,112384710,"DLE 70","LAFTEC",2415673,14/06/24,06/12/25,"OBRA 118"
"Trena Digital","50000 mm","Bosch",2201,2201,232412012,"GLM50-27CG","LAFTEC",2506013,27/02/25,21/08/26,"OBRA 118"
"Tubo Decantador Graduado - Tipo Pera",,"Metal Check","TD201C","TD201C","N/C","TD201C","LAF METROLOGIA",1800655,03/02/18,"INDETERMINADO","ALMOXARIFADO"
"Tubo Decantador Graduado - Tipo Pera",,"Metal Check","VID-001","VID-001","TC 249","N/C","METRUS","D0688006-0620",02/07/20,"INDETERMINADO","ALMOXARIFADO"
"Tubo Decantador Graduado - Tipo Pera",,"Metal Check","VID-002","VID-002","TC 249","N/C","METRUS","D0688007-0620",02/07/20,"INDETERMINADO","ALMOXARIFADO"
"Tubo Decantador Graduado - Tipo Pera",,"Metal Check","VID-003","VID-003","TC 249","N/C","METRUS","D0688008-0620",02/07/20,"INDETERMINADO","ALMOXARIFADO"
"Tubo Decantador Graduado - Tipo Pera",,"Metal Check","VID-004","VID-004","TC 250","N/C","METRUS","D0688009-0620",02/07/20,"INDETERMINADO","ALMOXARIFADO"
"Tubo Decantador Graduado - Tipo Pera (Colorido)","(Particula Magnetica)","SERV-END",3125,3125,3125,"Colorido","SERV-END","7351/22",10/10/22,"INDETERMINADO","ALMOXARIFADO"
"Ultrassom Automatizado",,"Olympus","N/A","N/C","OMNI2 -102047 / OMNI- 201218 ","OMNI -MX2","ELETRONICA SBJ","0299/2018",16/10/18,05/10/20,"ALMOXARIFADO"
"Ultrassom Phased Array","END INSPEÇÃO DE SOLDA","Olympus","END-001","END-001","OMNI2-102047","Omniscan MX2","END INSPEÇÃO ",1520,14/03/23,13/03/24,"ALMOXARIFADO"
"Ultrassom Phased Array",,"Olympus","Nura","Nura","OMNI-101664","Omniscan MX-1","ENDVALE",687,30/03/21,30/03/22,"ALMOXARIFADO"
"Ultrassom Pulso/Eco",,"GE","Inspetora Jane","USM GO",11125171,"USM GO","ENDVALE",1373,23/12/24,23/12/25,"OBRA 118"
"Válvula de Segurança",,"VL-01","VL-01","N/C","N/C","N/C","LAFTEC",2303337,14/02/23,14/02/24,"ALMOXARIFADO"
"Válvula de Segurança",,"VL-02","VL-02","N/C","N/C","N/C","LAFTEC",2415691,19/06/24,19/06/25,"OBRA 118"
"Válvula de Segurança",,"VL-03","VL-03","N/C","N/C","N/C","LAFTEC",2415692,19/06/24,19/06/25,"OBRA 118"
"Válvula de Segurança",,"VL-04","VL-04","N/C","N/C","N/C","LAFTEC",2415693,19/06/24,19/06/25,"OBRA 118"
"Válvula de Segurança",,"VL-05","VL-05","N/C","N/C","N/C","LAFTEC",2415694,19/06/24,19/06/25,"OBRA 118"
"Válvula de Segurança",,"VL-06","VL-06","N/C","N/C","N/C","LAFTEC",2415690,12/06/24,12/06/25,"OBRA 118"
"Válvula de Segurança",,"VL-07","VL-07","N/C","N/C","N/C","LAFTEC",2416819,19/06/24,19/06/25,"OBRA 118"
"Válvula de Segurança",,"VL-08","VL-08","N/C","N/C","N/C","LAFTEC",2416820,19/06/24,19/06/25,"OBRA 118"
"Válvula de Segurança","BOING (Verificar a validade)",11766,11766,"N/C","N/C","N/C","BILL MAKER","22040/25",16/01/25,16/01/26,"OBRA 118"
"Válvula Criogênica","BOING (Verificar a validade)","N/C","N/C","VCAT 012","BNG 001",,"CRYOVAL","074/25",14/03/24,04/03/26,"OBRA 118"
"Válvula de Segurança- Jato",,"Lubefer","VS-001","VS-001","N/C","LUB-30","METRUS","P0688001-0921",17/09/21,17/09/22,"ALMOXARIFADO"
"Válvula de Segurança- Jato",,"Lubefer","VS-002","VS-002","N/C","LUB-30","METRUS","P0688002-0921",17/09/21,17/09/22,"ALMOXARIFADO"
"Válvula de Segurança- Jato",,"Lubefer","VS-003","VS-003","N/C","LUB-30","METRUS","P0688003-0921",17/09/21,17/09/22,"ALMOXARIFADO"
"Válvula de Segurança- Jato",,"Lubefer","VS-004","VS-004","N/C","LUB-30","METRUS","P0688004-0921",17/09/21,17/09/22,"ALMOXARIFADO"
"Válvula de Segurança-Jato",,"N/C","VS-005","VS-005","N/C","N/C","METRUS","P0688001-1021",28/10/21,28/10/22,"ALMOXARIFADO"
"Válvula de Segurança-Jato",,"N/C","VS-006","VS-006","N/C","N/C","METRUS","P0688002-1021",28/10/21,28/10/22,"ALMOXARIFADO"
"Válvula de Segurança-Jato",,"N/C","VS-007","VS-007","N/C","N/C","METRUS","P0688003-1021",28/10/21,28/10/22,"ALMOXARIFADO"
"Válvula de Segurança-Jato",,"N/C","VS-008","VS-008","N/C","N/C","METRUS","P0688004-1021",28/10/21,28/10/22,"ALMOXARIFADO"
"Válvula de Segurança-PSV (AF Serviços Técnicos)",,"N/C","PI-001AF","PI-001AF","N/C","N/C","AF SERV.IND.","0504/24",20/09/24,20/09/25,"OBRA 118"
"Yoke",,"Super Magma",180,180,"1538/10","HMM6","LAFTEC",2415652,19/06/24,09/06/26,"OBRA 118"
"Yoke",,"Serv- End",181,181,2436,"SEY 101/A","LAFTEC",2222376,06/10/22,25/09/24,"ALMOXARIFADO"
"Yoke",,"Serv- End",182,182,2441,"SEY 101/A","LAFTEC",2300731,26/01/23,15/01/25,"ALMOXARIFADO"
"Yoke",,"Serv- End",183,183,2437,"SEY 101/A","LAFTEC",2519257,17/06/25,07/06/27,"OBRA 121"
"Yoke",,"Serv- End",184,184,2332,"SEY 101/A","METRUS","E0688006-0421",06/04/21,27/03/23,"ALMOXARIFADO"
"Yoke",,"Serv- End",185,185,185,"N/C","LAFTEC",2222377,06/10/22,25/09/24,"ALMOXARIFADO"
"Yoke",,"Serv- End",186,186,2411,"SEY 101/A","LAFTEC",2222378,06/10/22,25/09/24,"ALMOXARIFADO"
"Yoke",,"Supermagna","N/C","N/C","N/C","HMM6","SERV- END","6693/2020",09/11/20,30/10/22,"ALMOXARIFADO"
"Yoke",,"Serv- End","N/C","N/C",2412,"SEY 101/A","SERV- END","6673/2020",11/09/20,01/09/22,"ALMOXARIFADO"
"Yoke ",,"Serv-End",1295,1295,"1410/09","HMM6","LAFTEC",2226787,24/11/22,13/11/24,"ALMOXARIFADO"
"Yoke ",,"Super-Magna",1296,1296,"N/C","HMM6","LAFTEC",2415653,19/06/24,09/06/26,"OBRA 118"
"Yoke ",,"Serv-End",1829,1829,2334,101,"METROLOGIA 9000","MTR2407-20",13/07/20,03/07/22,"ALMOXARIFADO"
"Yoke ",,"Serv-End",1830,1830,1513,"HMM6","LAFTEC",2415654,19/06/24,09/06/26,"OBRA 121"
"Yoke ",,"Serv-End",1831,1831,1831,"HMM6","LAFTEC",2518004,09/06/25,30/05/27,"OBRA 121"
"Yoke ",,"Metal Check",1832,1832,1832,"HMM6","LAFTEC",2222380,06/10/22,25/09/24,"ALMOXARIFADO"
